"Enhancer","Pvalue","Coeff","Exp_Pvalue","Trials","bh"
"mm10_chr1.8595744.8596244",0.997323374939341,-0.0018254195065017,0.537,1000,0.694761780506523
"mm10_chr1.8780965.8781465",0.849220688071205,0.0967901304591281,0.535,1000,0.693798223008577
"mm10_chr1.8982556.8983056",0.765475136253467,0.159584267678594,0.384,1000,0.66156655002879
"mm10_chr1.9024202.9024702",0.603463446908175,-0.609810597767277,0.194,1000,0.66156655002879
"mm10_chr1.9090929.9091429",0.84434635490814,0.0866312552234748,0.321,1000,0.66156655002879
"mm10_chr1.9172227.9172727",0.99970256286976,0.000107987815187144,0.728,1000,0.831225168478445
"mm10_chr1.9573163.9573663",0.998868077479433,0.000379327315319969,0.542,1000,0.698176511041492
"mm10_chr1.9772702.9773202",0.871682839848934,0.0865280888233049,0.202,1000,0.66156655002879
"mm10_chr1.9823629.9824129",0.909469473966807,-0.0716621276807126,0.484,1000,0.669616085350841
"mm10_chr1.10596331.10596831",0.841307471651869,0.0753592241490876,0.386,1000,0.66156655002879
"mm10_chr1.10759521.10760021",0.999470859365453,0.000294182478031299,0.658,1000,0.778370921338853
"mm10_chr1.10763877.10764377",0.758629174957493,-0.124652185363511,0.464,1000,0.664044484061293
"mm10_chr1.10771763.10772263",0.99944964577089,-0.000253007700607743,0.711,1000,0.817824645196506
"mm10_chr1.10835591.10836091",0.785898089040053,0.178765505843028,0.304,1000,0.66156655002879
"mm10_chr1.10874754.10875254",0.427119820207956,1.60458872961796,0.0374,10000,0.66156655002879
"mm10_chr1.11442884.11443384",0.999844272713881,-0.000132968883495844,0.877,1000,0.933804894994473
"mm10_chr1.11450939.11451439",0.572627142008208,-0.330700981769159,0.068,1000,0.66156655002879
"mm10_chr1.11451651.11452151",0.999964318340438,-1.51479956329045e-05,0.833,1000,0.905163980920459
"mm10_chr1.11546149.11546649",0.999348351826138,-0.000372694687984841,0.442,1000,0.66156655002879
"mm10_chr1.11657664.11658164",0.729489904282199,0.232044447822603,0.276,1000,0.66156655002879
"mm10_chr1.11788180.11788680",0.999680419927688,-0.000139343156808521,0.665,1000,0.783462855545461
"mm10_chr1.11795700.11796200",0.643337125740496,0.177338777165637,0.165,1000,0.66156655002879
"mm10_chr1.11842380.11842880",0.727132305341812,-0.135721364812621,0.211,1000,0.66156655002879
"mm10_chr1.11912375.11912875",0.999983084137069,1.01030261082687e-05,0.979,1000,0.990843334434005
"mm10_chr1.11912979.11913479",0.608302152541695,-0.31264331577765,0.321,1000,0.66156655002879
"mm10_chr1.11913634.11914134",0.998306270659424,-0.000828044266647942,0.547,1000,0.70097499049791
"mm10_chr1.11977801.11978301",0.781594057022348,-0.130723239749598,0.202,1000,0.66156655002879
"mm10_chr1.11982447.11982947",0.750618669835198,-0.214807180602944,0.344,1000,0.66156655002879
"mm10_chr1.11996327.11996827",0.733862678990069,0.155387484174984,0.212,1000,0.66156655002879
"mm10_chr1.12319183.12319683",0.622277476627084,0.381204499731688,0.23,1000,0.66156655002879
"mm10_chr1.12319960.12320460",0.798800635686309,0.0952784003557801,0.305,1000,0.66156655002879
"mm10_chr1.12452889.12453389",0.636466770828605,-0.19110167514615,0.077,1000,0.66156655002879
"mm10_chr1.12500416.12500916",0.999475335113247,-0.000315770576773979,0.548,1000,0.701403386227318
"mm10_chr1.12863970.12864470",0.84688959569441,0.208145681070716,0.162,1000,0.66156655002879
"mm10_chr1.12877435.12877935",0.797878361991661,0.0869230137029614,0.23,1000,0.66156655002879
"mm10_chr1.12878001.12878501",0.999983785421427,-6.43899130868939e-06,0.973,1000,0.988092768290112
"mm10_chr1.12947530.12948030",0.912907259320801,0.0386598571740369,0.337,1000,0.66156655002879
"mm10_chr1.13050100.13050600",0.910513863719481,0.0976067033684726,0.585,1000,0.726290090952609
"mm10_chr1.13051950.13052450",0.999189494771085,0.000583778489903779,0.518,1000,0.684629086632693
"mm10_chr1.13183318.13183818",0.9999969089242,1.8099030661625e-06,0.997,1000,0.999846876859013
"mm10_chr1.13188374.13188874",0.999153514073849,-0.000450237615320125,0.534,1000,0.693114567292886
"mm10_chr1.13189121.13189621",0.781462321491575,0.094956091593334,0.271,1000,0.66156655002879
"mm10_chr1.13194817.13195317",0.999996970111938,-1.15802045988647e-06,0.996,1000,0.999319604808951
"mm10_chr1.13196100.13196600",0.753610513111616,-0.101581913130491,0.368,1000,0.66156655002879
"mm10_chr1.13196928.13197428",0.825464719839539,0.157974047595385,0.298,1000,0.66156655002879
"mm10_chr1.13200898.13201398",0.774406670028647,-0.0922834527810249,0.29,1000,0.66156655002879
"mm10_chr1.13202493.13202993",0.999557714744465,0.000125380392845162,0.662,1000,0.781402884750035
"mm10_chr1.13203647.13204147",0.853390597089343,0.0698377669290813,0.247,1000,0.66156655002879
"mm10_chr1.13205100.13205600",0.969673910075655,-0.0156845947120794,0.284,1000,0.66156655002879
"mm10_chr1.13214361.13214861",0.765877218215726,-0.101464675685187,0.278,1000,0.66156655002879
"mm10_chr1.13224819.13225319",0.769674263953453,-0.124501548383618,0.326,1000,0.66156655002879
"mm10_chr1.13247272.13247772",0.834499511609719,-0.0978094543135085,0.337,1000,0.66156655002879
"mm10_chr1.13249562.13250062",0.83695722582994,-0.0861074706723673,0.266,1000,0.66156655002879
"mm10_chr1.13253893.13254393",0.646937439801814,-0.307194831841321,0.137,1000,0.66156655002879
"mm10_chr1.13257475.13257975",0.641512781821579,-0.270631844299713,0.28,1000,0.66156655002879
"mm10_chr1.13332211.13332711",0.742613786234282,-0.292950280226792,0.289,1000,0.66156655002879
"mm10_chr1.13337319.13337819",0.816909536558006,-0.131631685520061,0.253,1000,0.66156655002879
"mm10_chr1.13340569.13341069",0.750161318768687,0.172910740597813,0.382,1000,0.66156655002879
"mm10_chr1.13342078.13342578",0.761832088224067,-0.174066177707026,0.378,1000,0.66156655002879
"mm10_chr1.13426421.13426921",0.784678925054001,-0.115934321535855,0.334,1000,0.66156655002879
"mm10_chr1.13427730.13428230",0.999808127722547,0.000114812821210224,0.834,1000,0.905812711400316
"mm10_chr1.13466864.13467364",0.96765990812743,0.0155934762189356,0.568,1000,0.71495139251848
"mm10_chr1.13500405.13500905",0.875056819621849,-0.106702249811214,0.483,1000,0.669303686654885
"mm10_chr1.13531407.13531907",0.999611500175166,-0.000143301313478395,0.639,1000,0.764668110026619
"mm10_chr1.13784350.13784850",0.999766472473932,-9.88403468043151e-05,0.619,1000,0.750214026384845
"mm10_chr1.13789182.13789682",0.771343911354208,0.0629197385339889,0.162,1000,0.66156655002879
"mm10_chr1.14204189.14204689",0.999232070974162,-0.000269817160284884,0.572,1000,0.717495144908665
"mm10_chr1.14208324.14208824",0.999780659492382,-0.000130804833828027,0.43,1000,0.66156655002879
"mm10_chr1.14359952.14360452",0.769275585878726,-0.108017249686537,0.42,1000,0.66156655002879
"mm10_chr1.14635803.14636303",0.766740697281983,0.181640689271978,0.196,1000,0.66156655002879
"mm10_chr1.14686456.14686956",0.67102122636505,0.266900836851427,0.194,1000,0.66156655002879
"mm10_chr1.14686984.14687484",0.818482832404991,-0.0769061808932592,0.351,1000,0.66156655002879
"mm10_chr1.14728987.14729487",0.868723135453741,0.0623248522751398,0.3,1000,0.66156655002879
"mm10_chr1.14858291.14858791",0.782039883359046,-0.108904134452846,0.286,1000,0.66156655002879
"mm10_chr1.15059495.15059995",0.977332667088121,-0.0132037358472127,0.383,1000,0.66156655002879
"mm10_chr1.15358434.15358934",0.999929519816452,-3.74696392728293e-05,0.906,1000,0.950337429611424
"mm10_chr1.15408952.15409452",0.998609542222217,-0.00147122480236774,0.504,1000,0.677897793912315
"mm10_chr1.15444480.15444980",0.756867489196347,-0.156311797336392,0.257,1000,0.66156655002879
"mm10_chr1.15451560.15452060",0.875922741450532,-0.0697188169597853,0.379,1000,0.66156655002879
"mm10_chr1.15482654.15483154",0.831668945003757,-0.191982221668055,0.305,1000,0.66156655002879
"mm10_chr1.15483489.15483989",0.636318090973701,0.337001516539706,0.118,1000,0.66156655002879
"mm10_chr1.15610429.15610929",0.999713088506667,-0.000139571378080663,0.733,1000,0.834926621621622
"mm10_chr1.15616356.15616856",0.838944386203303,0.0980260456363132,0.368,1000,0.66156655002879
"mm10_chr1.15621834.15622334",0.998004912807659,-0.000754780692586922,0.376,1000,0.66156655002879
"mm10_chr1.15649336.15649836",0.837987203976667,-0.0731015911382236,0.49,1000,0.671824651295189
"mm10_chr1.15652209.15652709",0.99902740156564,-0.0003665258252081,0.533,1000,0.692536436856912
"mm10_chr1.15656833.15657333",0.998665064935817,-0.00035259574554337,0.297,1000,0.66156655002879
"mm10_chr1.15677522.15678022",0.999829846400431,-6.38352940714657e-05,0.849,1000,0.916113550534468
"mm10_chr1.15683543.15684043",0.799458750121253,-0.0907776385193579,0.39,1000,0.66156655002879
"mm10_chr1.16177539.16178039",0.837176548946261,0.0998756129176285,0.165,1000,0.66156655002879
"mm10_chr1.16216433.16216933",0.426813465331863,-0.50848024245479,0.125,1000,0.66156655002879
"mm10_chr1.16231660.16232160",0.998474577827281,-0.00068910194335492,0.441,1000,0.66156655002879
"mm10_chr1.16237544.16238044",0.782632598204126,-0.105282718897357,0.296,1000,0.66156655002879
"mm10_chr1.16248880.16249380",0.700013418977409,0.296464650381579,0.136,1000,0.66156655002879
"mm10_chr1.16271767.16272267",0.999478774520796,-0.000388001622374008,0.588,1000,0.728218042903321
"mm10_chr1.16312143.16312643",0.999824909782666,-9.88043447227484e-05,0.872,1000,0.930390886075949
"mm10_chr1.16408197.16408697",0.97024240303087,0.0237626282152118,0.406,1000,0.66156655002879
"mm10_chr1.16916606.16917106",0.731737818796583,0.276948430849307,0.326,1000,0.66156655002879
"mm10_chr1.17120008.17120508",0.768045503936911,-0.165038591786542,0.288,1000,0.66156655002879
"mm10_chr1.17629471.17629971",0.733396108506445,0.484652943154638,0.316,1000,0.66156655002879
"mm10_chr1.17856907.17857407",0.794201225387326,-0.16933704224796,0.391,1000,0.66156655002879
"mm10_chr1.18012784.18013284",0.766231869648116,-0.0669217251537172,0.216,1000,0.66156655002879
"mm10_chr1.18057380.18057880",0.797577309071131,-0.106347085965167,0.251,1000,0.66156655002879
"mm10_chr1.18058022.18058522",0.811307235804787,-0.151333818817384,0.494,1000,0.673311395884707
"mm10_chr1.18308396.18308896",0.709925168282224,-0.151336346766828,0.294,1000,0.66156655002879
"mm10_chr1.18353160.18353660",0.738494462101302,0.103046226481282,0.182,1000,0.66156655002879
"mm10_chr1.18353867.18354367",0.600930327861096,-0.157204099901912,0.079,1000,0.66156655002879
"mm10_chr1.18976648.18977148",0.618411545477322,-0.551748884907741,0.105,1000,0.66156655002879
"mm10_chr1.19178966.19179466",0.723404108464377,0.520834233034145,0.186,1000,0.66156655002879
"mm10_chr1.19350487.19350987",0.794414037162549,0.110301565715899,0.343,1000,0.66156655002879
"mm10_chr1.19384853.19385353",0.708957169331272,-0.202541945417642,0.219,1000,0.66156655002879
"mm10_chr1.19388796.19389296",0.823271259457148,0.0841795983218851,0.341,1000,0.66156655002879
"mm10_chr1.19593500.19594000",0.765780929533388,-0.110896123181763,0.142,1000,0.66156655002879
"mm10_chr1.19901957.19902457",0.723934570202366,-0.225736270664413,0.145,1000,0.66156655002879
"mm10_chr1.19938963.19939463",0.799121849397393,-0.0840915733147871,0.496,1000,0.673993873931968
"mm10_chr1.20010305.20010805",0.668059892363634,-0.216002507171259,0.119,1000,0.66156655002879
"mm10_chr1.20224440.20224940",0.786067309605719,0.1315105885157,0.371,1000,0.66156655002879
"mm10_chr1.20306108.20306608",0.775207899534853,0.0905603579363722,0.365,1000,0.66156655002879
"mm10_chr1.20311452.20311952",0.999998376143112,-4.57752956729107e-06,0.977,1000,0.990007874252397
"mm10_chr1.20328674.20329174",0.69172689982178,-0.197523281200363,0.164,1000,0.66156655002879
"mm10_chr1.20454574.20455074",0.729286088112335,-0.138057732002351,0.273,1000,0.66156655002879
"mm10_chr1.20470903.20471403",0.756577397910272,-0.123396045718937,0.351,1000,0.66156655002879
"mm10_chr1.20476212.20476712",0.995741166983903,-0.00249004169714759,0.695,1000,0.805355375309321
"mm10_chr1.20477897.20478397",0.731219476105006,0.131464536085197,0.292,1000,0.66156655002879
"mm10_chr1.20997882.20998382",0.999769310852521,0.000156026934242036,0.846,1000,0.914017239721857
"mm10_chr1.21008785.21009285",0.800637003385763,-0.111040098484761,0.227,1000,0.66156655002879
"mm10_chr1.21010368.21010868",0.806159716109429,-0.0898664284082653,0.366,1000,0.66156655002879
"mm10_chr1.21161757.21162257",0.741750127440458,0.39595865113581,0.438,1000,0.66156655002879
"mm10_chr1.21166210.21166710",0.803350563916551,-0.150746179775124,0.31,1000,0.66156655002879
"mm10_chr1.21411147.21411647",0.743264586636739,-0.444215751423061,0.312,1000,0.66156655002879
"mm10_chr1.21443820.21444320",0.999337911363773,0.000466728219113653,0.592,1000,0.730996960263688
"mm10_chr1.21461050.21461550",0.612361363972042,0.360569252894974,0.0251,10000,0.66156655002879
"mm10_chr1.21480379.21480879",0.999927688237354,-3.23310362137211e-05,0.937,1000,0.969195361394036
"mm10_chr1.21484503.21485003",0.72482413809145,-0.154015151301444,0.265,1000,0.66156655002879
"mm10_chr1.21499768.21500268",0.827174674643676,-0.0987775000086751,0.339,1000,0.66156655002879
"mm10_chr1.21552614.21553114",0.999695045077006,-0.000146477049109762,0.371,1000,0.66156655002879
"mm10_chr1.21563283.21563783",0.852988028727095,0.0748443062703141,0.472,1000,0.666469218527515
"mm10_chr1.21597731.21598231",0.770484374515442,-0.13278600686169,0.392,1000,0.66156655002879
"mm10_chr1.21632954.21633454",0.999708702038247,-0.000186078874869046,0.738,1000,0.839176014299686
"mm10_chr1.21650826.21651326",0.964874062523977,-0.0218746072347088,0.349,1000,0.66156655002879
"mm10_chr1.21676728.21677228",0.999523573496729,-0.000314212678079272,0.61,1000,0.743636692338287
"mm10_chr1.21739534.21740034",0.999930283870348,-2.46603005858513e-05,0.915,1000,0.955734068589485
"mm10_chr1.21748053.21748553",0.692881193048868,0.165252993581261,0.303,1000,0.66156655002879
"mm10_chr1.21749247.21749747",0.821496280432587,-0.0988213443144216,0.141,1000,0.66156655002879
"mm10_chr1.21750757.21751257",0.769991541459726,-0.134715784074226,0.253,1000,0.66156655002879
"mm10_chr1.21780753.21781253",0.701463488804089,-0.179161630722696,0.201,1000,0.66156655002879
"mm10_chr1.21782757.21783257",0.788906467050365,0.0963618197915866,0.311,1000,0.66156655002879
"mm10_chr1.21803925.21804425",0.661356841524309,0.170186770100077,0.151,1000,0.66156655002879
"mm10_chr1.21829908.21830408",0.777790585822071,-0.0903170149324613,0.355,1000,0.66156655002879
"mm10_chr1.21918690.21919190",0.997173476366535,0.00143246571440732,0.507,1000,0.679466253279275
"mm10_chr1.21940491.21940991",0.747089770851363,0.205258263590448,0.23,1000,0.66156655002879
"mm10_chr1.22245618.22246118",0.809815744964911,-0.0756624256690214,0.369,1000,0.66156655002879
"mm10_chr1.22262200.22262700",0.851360041249021,0.0786268788866163,0.409,1000,0.66156655002879
"mm10_chr1.22262954.22263454",0.997401423110895,-0.00122555402009714,0.398,1000,0.66156655002879
"mm10_chr1.22268900.22269400",0.91743777596539,0.10539701570918,0.428,1000,0.66156655002879
"mm10_chr1.22287140.22287640",0.994938586271324,0.0033561778629725,0.37,1000,0.66156655002879
"mm10_chr1.22336574.22337074",0.975124158531711,0.0135229824018219,0.478,1000,0.667588252350773
"mm10_chr1.22339027.22339527",0.707165403407627,-0.149622214755583,0.275,1000,0.66156655002879
"mm10_chr1.22345383.22345883",0.777557623717496,0.252173681194293,0.316,1000,0.66156655002879
"mm10_chr1.22348860.22349360",0.784039042122177,-0.0980612960647398,0.257,1000,0.66156655002879
"mm10_chr1.22377157.22377657",0.999992453121575,3.84089806606294e-06,0.944,1000,0.972973343115676
"mm10_chr1.22473228.22473728",0.72835580698313,0.133551108750532,0.149,1000,0.66156655002879
"mm10_chr1.22487227.22487727",0.709452391595401,-0.111946530156856,0.187,1000,0.66156655002879
"mm10_chr1.22501951.22502451",0.998087594514621,-0.00100850264702672,0.379,1000,0.66156655002879
"mm10_chr1.22503525.22504025",0.999760015343475,0.000283226129943504,0.656,1000,0.777150245959241
"mm10_chr1.22507333.22507833",0.771682208187878,-0.1137274430257,0.193,1000,0.66156655002879
"mm10_chr1.22507854.22508354",0.771977493971453,0.0716204967381393,0.206,1000,0.66156655002879
"mm10_chr1.22508701.22509201",0.999914868734816,3.43597159537698e-05,0.898,1000,0.946480602707181
"mm10_chr1.22509371.22509871",0.792488351973807,-0.1092904736676,0.326,1000,0.66156655002879
"mm10_chr1.22526164.22526664",0.998674372542027,0.000692132090174325,0.646,1000,0.76946710944676
"mm10_chr1.22526920.22527420",0.805219183736527,-0.117004568221075,0.355,1000,0.66156655002879
"mm10_chr1.22534384.22534884",0.999792313364947,-0.000187652845013716,0.762,1000,0.8563864
"mm10_chr1.22604658.22605158",0.783619461237828,-0.0949629058816531,0.3,1000,0.66156655002879
"mm10_chr1.22620818.22621318",0.677983846784626,-0.13101906883451,0.096,1000,0.66156655002879
"mm10_chr1.22661412.22661912",0.83561188784039,0.0621611490260013,0.236,1000,0.66156655002879
"mm10_chr1.22662188.22662688",0.999664903864221,-0.000150791975881098,0.626,1000,0.75535809891919
"mm10_chr1.22695026.22695526",0.652147774638373,-0.161881825851207,0.186,1000,0.66156655002879
"mm10_chr1.22711939.22712439",0.829680727145773,-0.102878690977138,0.288,1000,0.66156655002879
"mm10_chr1.22713859.22714359",0.718426670977592,-0.162261659160589,0.379,1000,0.66156655002879
"mm10_chr1.22720291.22720791",0.999996339068937,2.03421964778331e-06,0.997,1000,0.999846876859013
"mm10_chr1.22727133.22727633",0.999418864258722,0.000364683869186524,0.575,1000,0.719224633648674
"mm10_chr1.22728246.22728746",0.999771972588069,5.85664905760956e-05,0.835,1000,0.906460815248889
"mm10_chr1.22745864.22746364",0.999360020157864,-0.000841064441631825,0.668,1000,0.785542464511179
"mm10_chr1.22752265.22752765",0.999582166052943,-0.000188684259376909,0.615,1000,0.747515772017737
"mm10_chr1.23061947.23062447",0.987962817546184,0.00743075632943487,0.278,1000,0.66156655002879
"mm10_chr1.23202330.23202830",0.735209005588188,-0.162492524900582,0.147,1000,0.66156655002879
"mm10_chr1.23204332.23204832",0.998959466302215,0.000428948069515481,0.459,1000,0.662853642866321
"mm10_chr1.23207879.23208379",0.791583375603655,-0.14076826471601,0.185,1000,0.66156655002879
"mm10_chr1.23255403.23255903",0.997541644271289,-0.00192055261145435,0.403,1000,0.66156655002879
"mm10_chr1.23255912.23256412",0.733041129394971,-0.165120181909323,0.444,1000,0.661653215469613
"mm10_chr1.23256507.23257007",0.999886989291099,5.93967803604251e-05,0.859,1000,0.922446220976526
"mm10_chr1.23257140.23257640",0.793702987236628,-0.12855128474012,0.369,1000,0.66156655002879
"mm10_chr1.23263774.23264274",0.76389616100142,-0.119222053148833,0.229,1000,0.66156655002879
"mm10_chr1.23284337.23284837",0.999255679475314,0.000389027670830554,0.318,1000,0.66156655002879
"mm10_chr1.23286661.23287161",0.810105157646233,-0.0715601063808532,0.41,1000,0.66156655002879
"mm10_chr1.23332115.23332615",0.752388235097387,-0.111599941887938,0.267,1000,0.66156655002879
"mm10_chr1.23359376.23359876",0.822135689131705,-0.0926879147782871,0.297,1000,0.66156655002879
"mm10_chr1.23670429.23670929",0.999379912615752,-0.000356966422028781,0.653,1000,0.774575992119336
"mm10_chr1.23705492.23705992",0.999653137745174,-0.000184423224868894,0.488,1000,0.671129384891499
"mm10_chr1.23824939.23825439",0.775686469686731,0.122310001271764,0.259,1000,0.66156655002879
"mm10_chr1.23826970.23827470",0.867162182811957,0.0814361818923641,0.485,1000,0.669845158118958
"mm10_chr1.23948269.23948769",0.794383418427993,0.0819972850996522,0.312,1000,0.66156655002879
"mm10_chr1.24134812.24135312",0.999796365904455,-8.53811756378062e-05,0.762,1000,0.8563864
"mm10_chr1.24137069.24137569",0.705621924488108,0.19473453020306,0.304,1000,0.66156655002879
"mm10_chr1.24143946.24144446",0.999627383759923,0.00012233919079148,0.624,1000,0.753916147065147
"mm10_chr1.24302586.24303086",0.999750166457785,-8.70465840398546e-05,0.681,1000,0.795034487534626
"mm10_chr1.24304591.24305091",0.801122257193988,-0.111119331355953,0.32,1000,0.66156655002879
"mm10_chr1.24349696.24350196",0.999839504401732,-0.000408862562125095,0.809,1000,0.888795464172831
"mm10_chr1.24362167.24362667",0.999997397288699,-1.37162631935414e-06,0.994,1000,0.998709777393688
"mm10_chr1.24367508.24368008",0.997980047784739,0.00217039269621017,0.491,1000,0.672238934459514
"mm10_chr1.24378382.24378882",0.99952062381525,0.000200679531430139,0.769,1000,0.861410810990398
"mm10_chr1.24382948.24383448",0.993568220063308,0.00259864243829184,0.364,1000,0.66156655002879
"mm10_chr1.24422932.24423432",0.72832214436224,-0.205498767283463,0.229,1000,0.66156655002879
"mm10_chr1.24491755.24492255",0.997755528787995,-0.000771671317846646,0.548,1000,0.701403386227318
"mm10_chr1.24495470.24495970",0.722890403322235,-0.261820363692049,0.263,1000,0.66156655002879
"mm10_chr1.24512388.24512888",0.767368107993179,-0.204999937222122,0.309,1000,0.66156655002879
"mm10_chr1.24549215.24549715",0.999602021536344,0.000234204595999782,0.64,1000,0.765375802504168
"mm10_chr1.24550098.24550598",0.719460667542576,-0.188572066345369,0.203,1000,0.66156655002879
"mm10_chr1.24550814.24551314",0.780961171186606,-0.174723582901026,0.405,1000,0.66156655002879
"mm10_chr1.24553542.24554042",0.693485637291596,0.124354456639784,0.25,1000,0.66156655002879
"mm10_chr1.24557931.24558431",0.658795605700506,-0.217895637205395,0.197,1000,0.66156655002879
"mm10_chr1.24564786.24565286",0.999971718459399,1.13718793268305e-05,0.866,1000,0.927040132080264
"mm10_chr1.24633669.24634169",0.779177226255464,-0.104514647271281,0.268,1000,0.66156655002879
"mm10_chr1.24702466.24702966",0.798903125323741,-0.130542278047833,0.346,1000,0.66156655002879
"mm10_chr1.24891382.24891882",0.747132079004572,-0.125098662415583,0.23,1000,0.66156655002879
"mm10_chr1.25000124.25000624",0.777605872185648,-0.154548978845123,0.294,1000,0.66156655002879
"mm10_chr1.25053558.25054058",0.999949879792285,2.84844362232927e-05,0.835,1000,0.906460815248889
"mm10_chr1.25055780.25056280",0.63704168085653,-0.449998154655706,0.208,1000,0.66156655002879
"mm10_chr1.25057105.25057605",0.705433210881897,-0.168058708380255,0.28,1000,0.66156655002879
"mm10_chr1.25060176.25060676",0.534331243628707,-0.278241664270492,0.106,1000,0.66156655002879
"mm10_chr1.25060905.25061405",0.999156468691993,0.000488860656894793,0.467,1000,0.664670184473806
"mm10_chr1.25076214.25076714",0.72990348156939,-0.154752215918679,0.134,1000,0.66156655002879
"mm10_chr1.25082330.25082830",0.784321808484899,0.0802431562579091,0.244,1000,0.66156655002879
"mm10_chr1.25084896.25085396",0.840407481285991,-0.104345068675648,0.481,1000,0.668538049303323
"mm10_chr1.25085440.25085940",0.99905447984492,0.000710376393298281,0.609,1000,0.743089316734221
"mm10_chr1.25086992.25087492",0.718180298786134,-0.258206531979767,0.172,1000,0.66156655002879
"mm10_chr1.25087656.25088156",0.904552039211387,-0.0934009104530907,0.405,1000,0.66156655002879
"mm10_chr1.25089541.25090041",0.998326854415986,-0.000770723469069488,0.391,1000,0.66156655002879
"mm10_chr1.25096260.25096760",0.771329525088609,-0.181299340159745,0.222,1000,0.66156655002879
"mm10_chr1.25105295.25105795",0.999856054644906,0.000131050491910978,0.79,1000,0.876662607379127
"mm10_chr1.25106770.25107270",0.798900227626341,-0.089707395245617,0.284,1000,0.66156655002879
"mm10_chr1.25107670.25108170",0.82961989362829,-0.0953218588522218,0.217,1000,0.66156655002879
"mm10_chr1.25132047.25132547",0.845053809315793,0.050396129267426,0.403,1000,0.66156655002879
"mm10_chr1.25166299.25166799",0.759404621529878,-0.143624821120882,0.227,1000,0.66156655002879
"mm10_chr1.25167067.25167567",0.729668625464379,-0.171974030130867,0.152,1000,0.66156655002879
"mm10_chr1.25176473.25176973",0.770093709544733,-0.107302833796398,0.26,1000,0.66156655002879
"mm10_chr1.25180155.25180655",0.821160830393754,-0.0788236855540067,0.361,1000,0.66156655002879
"mm10_chr1.25281404.25281904",0.818972422163514,-0.100003927588752,0.292,1000,0.66156655002879
"mm10_chr1.25309893.25310393",0.727223026542629,-0.211294217564218,0.327,1000,0.66156655002879
"mm10_chr1.25317100.25317600",0.705768717677965,-0.111514206594953,0.282,1000,0.66156655002879
"mm10_chr1.25343727.25344227",0.719469654583268,0.186271046886023,0.187,1000,0.66156655002879
"mm10_chr1.25377088.25377588",0.76983153015513,-0.127068819858483,0.322,1000,0.66156655002879
"mm10_chr1.25442614.25443114",0.999346374516761,0.000309520022934819,0.504,1000,0.677897793912315
"mm10_chr1.25449080.25449580",0.732597060642364,-0.148919577439346,0.182,1000,0.66156655002879
"mm10_chr1.25459471.25459971",0.998582923803877,-0.0004615925734517,0.467,1000,0.664670184473806
"mm10_chr1.25463537.25464037",0.673486425539298,-0.171538538432852,0.218,1000,0.66156655002879
